"","genus","species","gbif_name","notes","gbif_count","gbif_date"
"1","Papilio","appalachiensis","Papilio appalachiensis","",73,2021-06-01
"2","Papilio","aristodemus","Papilio aristodemus","",93,2021-06-01
"3","Papilio","brevicauda","Papilio brevicauda","",424,2021-06-01
"4","Papilio","canadensis","Papilio canadensis","",7491,2021-06-01
"5","Papilio","cresphontes","Papilio cresphontes","includes some observations that are likely P. rumiko",10412,2021-06-01
"6","Papilio","eurymedon","Papilio eurymedon","",3741,2021-06-01
"7","Papilio","glaucus","Papilio glaucus","",33246,2021-06-01
"8","Papilio","indra","Papilio indra","",933,2021-06-01
"9","Papilio","machaon","Papilio machaon","",224389,2021-06-01
"10","Papilio","multicaudata","Papilio multicaudata","",4457,2021-06-01
"11","Papilio","palamedes","Papilio palamedes","",2732,2021-06-01
"12","Papilio","polyxenes","Papilio polibetes","note incorrect specific epithet for gbif name",21974,2021-06-01
"13","Papilio","rumiko","Papilio rumiko","includes at least some P. cresphontes â€“ see Long Island observation",3814,2021-06-01
"14","Papilio","rutulus","Papilio rutulus","",6936,2021-06-01
"15","Papilio","troilus","Papilio troilus","",12022,2021-06-01
"16","Papilio","zelicaon","Papilio zelicaon","",7202,2021-06-01
