"species","clim_model","ncells","sdm0","sdm1","sdm2","sdm3","sdm4","sdm5"
"Angelica atropurpurea","ensemble_ssp370_2041",691027,87,8.4,3.2,1.1,0.2,0
"Angelica atropurpurea","ensemble_ssp370_2071",917293,80.2,11.8,5,2.2,0.6,0.1
"Angelica venenosa","current",191951,65.5,4.8,6.5,5.6,8.6,9.1
"Angelica venenosa","ensemble_ssp245_2041",286984,72.9,18.4,7.3,1,0.3,0.2
"Angelica venenosa","ensemble_ssp245_2071",494142,76.3,13.9,6.3,1.9,1.2,0.3
"Angelica venenosa","ensemble_ssp370_2041",286984,75,17.6,6.3,0.6,0.2,0.2
"Angelica venenosa","ensemble_ssp370_2071",494142,79,14.6,4.1,1.3,0.8,0.3
"Berula erecta","current",533318,47.1,11,17.8,8.3,5.9,9.8
"Berula erecta","ensemble_ssp245_2041",656317,47.9,18.7,11.7,12.4,4.7,4.7
"Berula erecta","ensemble_ssp245_2071",859037,54.9,18.6,9.2,10.8,3.7,2.8
"Berula erecta","ensemble_ssp370_2041",656317,47.1,19.5,11,13.6,4.7,4.2
"Berula erecta","ensemble_ssp370_2071",859037,47.8,22.6,10.2,12.6,4.5,2.2
"Cicuta bulbifera","current",674524,75.9,4.7,2.8,2.7,2.5,11.3
"Cicuta bulbifera","ensemble_ssp245_2041",957892,55.1,24.7,11.2,5.8,2.1,1
"Cicuta bulbifera","ensemble_ssp245_2071",1296630,43.8,33.5,12.3,6.8,2.9,0.8
"Cicuta bulbifera","ensemble_ssp370_2041",957892,49.9,26.2,13.2,7.1,2.8,0.9
"Cicuta bulbifera","ensemble_ssp370_2071",1296630,29.8,34,16.2,13,5.3,1.6
"Cicuta douglasii","current",472121,62.8,6.7,5.9,8.8,6.7,9.2
"Cicuta douglasii","ensemble_ssp245_2041",658253,59.9,16.3,5.8,3.4,4.9,9.6
"Cicuta douglasii","ensemble_ssp245_2071",995573,59.7,21.4,5.6,2.9,3.7,6.8
"Cicuta douglasii","ensemble_ssp370_2041",658253,59.8,16.9,6,3.6,4.6,9.1
"Cicuta douglasii","ensemble_ssp370_2071",995573,56.1,25.4,6.2,3,3.3,6
"Cicuta maculata","current",760096,64.4,7.6,5.2,6.4,4.8,11.7
"Cicuta maculata","ensemble_ssp245_2041",917876,84.6,11.2,2.8,0.9,0.4,0.1
"Cicuta maculata","ensemble_ssp245_2071",1152730,82.7,12.9,3.1,0.9,0.3,0.1
"Cicuta maculata","ensemble_ssp370_2041",917876,84.1,11.5,3.1,0.9,0.4,0
"Cicuta maculata","ensemble_ssp370_2071",1152730,79.9,14.7,3.5,1.4,0.4,0.2
"Conium maculatum","current",581100,75,5.7,3.6,3.7,3.8,8.1
"Conium maculatum","ensemble_ssp245_2041",709482,49.9,21.8,9.3,7.2,3.8,8
"Conium maculatum","ensemble_ssp245_2071",910253,54.2,22.1,8.2,5.5,3.2,6.7
"Conium maculatum","ensemble_ssp370_2041",709482,48.9,22.3,9.6,6.8,3.7,8.7
"Conium maculatum","ensemble_ssp370_2071",910253,46.2,25.9,10.7,6.7,4,6.5
"Cryptotaenia canadensis","current",224275,56.8,7.3,5.4,9,7.2,14.3
"Cryptotaenia canadensis","ensemble_ssp245_2041",343080,38.6,19.1,24,7.2,5.2,5.9
"Cryptotaenia canadensis","ensemble_ssp245_2071",565904,51,16.6,19.1,6.1,3.8,3.4
"Cryptotaenia canadensis","ensemble_ssp370_2041",343080,36,18.5,25.8,8.7,4.9,6.1
"Cryptotaenia canadensis","ensemble_ssp370_2071",565904,35.5,18.6,23.5,11.4,5.9,5.2
"Daucus pusillus","current",406304,79.2,4.2,2.3,2.4,3.8,8.1
"Daucus pusillus","ensemble_ssp245_2041",537349,75,9.1,7.6,3.2,1.7,3.4
"Daucus pusillus","ensemble_ssp245_2071",756918,75.1,10.6,7.5,2.8,1.3,2.6
"Daucus pusillus","ensemble_ssp370_2041",537349,72.7,10.4,8.2,3.6,1.5,3.5
"Daucus pusillus","ensemble_ssp370_2071",756918,68.6,12.5,10.7,3.3,1.9,3
"Foeniculum vulgare","current",688296,91.1,3.4,1.6,0.9,0.8,2.3
"Foeniculum vulgare","ensemble_ssp245_2041",798610,76.5,12,5.8,2.3,1.5,2
"Foeniculum vulgare","ensemble_ssp245_2071",996742,78.5,10.4,5.3,2.6,1.6,1.6
"Foeniculum vulgare","ensemble_ssp370_2041",798610,75.4,12,6.3,2.7,1.8,1.9
"Foeniculum vulgare","ensemble_ssp370_2071",996742,74.6,10.9,6.2,3.6,2.6,2
"Osmorhiza longistylis","current",399496,66.5,4.3,2.4,4.9,6.4,15.6
"Osmorhiza longistylis","ensemble_ssp245_2041",593480,63.5,15.8,12.1,3.6,2.7,2.4
"Osmorhiza longistylis","ensemble_ssp245_2071",911462,66.8,17.3,9.9,2.3,1.7,2
"Osmorhiza longistylis","ensemble_ssp370_2041",593480,61.7,16.5,13.1,3.3,2.9,2.5
"Osmorhiza longistylis","ensemble_ssp370_2071",911462,56.1,21.3,14.6,4.5,1.5,2.1
"Ptilimnium capillaceum","current",112041,79.7,7.9,2.8,1.9,2.1,5.7
"Ptilimnium capillaceum","ensemble_ssp245_2041",188742,73.5,22.2,2.4,0.6,0.9,0.4
"Ptilimnium capillaceum","ensemble_ssp245_2071",370834,81.2,15.5,2.3,0.5,0.3,0.2
"Ptilimnium capillaceum","ensemble_ssp370_2041",188742,70.3,25,3,0.6,0.8,0.2
"Ptilimnium capillaceum","ensemble_ssp370_2071",370834,77.4,18.6,3.5,0.5,0,0
"Sium suave","current",879565,72,7.3,4.6,3,3.5,9.6
"Sium suave","ensemble_ssp245_2041",1079035,62.8,12.9,8.7,8.7,5.2,1.7
"Sium suave","ensemble_ssp245_2071",1337395,63.8,11.7,7.3,9.3,6.1,1.8
"Sium suave","ensemble_ssp370_2041",1079035,60.5,12.9,8.2,10.4,6,2
"Sium suave","ensemble_ssp370_2071",1337395,54.8,13.7,9.1,10.7,9.5,2.3
"Spermolepis divaricata","current",326035,71.5,9.4,3.2,2.7,5.7,7.4
"Spermolepis divaricata","ensemble_ssp245_2041",443482,23.5,42.8,8,14.2,8.5,3
"Spermolepis divaricata","ensemble_ssp245_2071",654352,26.8,45.2,8.1,11.3,7.4,1.2
"Spermolepis divaricata","ensemble_ssp370_2041",443482,21.5,43.3,8.2,15.2,9.3,2.3
"Spermolepis divaricata","ensemble_ssp370_2071",654352,19.3,47.6,9.9,12.9,9.5,0.8
"Taenidia integerrima","current",169469,49.7,12.5,10.7,8.2,7.6,11.4
"Taenidia integerrima","ensemble_ssp245_2041",275122,28.6,24.3,33.6,6.7,3.9,2.7
"Taenidia integerrima","ensemble_ssp245_2071",477527,46,21.2,23.2,5.1,3.4,1.1
"Taenidia integerrima","ensemble_ssp370_2041",275122,26.7,25.5,34.7,6.3,4.3,2.5
"Taenidia integerrima","ensemble_ssp370_2071",477527,32.3,30.4,24.5,8.3,4,0.6
"Thamnosma texana","current",78863,49.4,8.9,10.9,7.2,11.5,12.2
"Thamnosma texana","ensemble_ssp245_2041",171097,42.1,29.2,13.2,7.5,4.4,3.5
"Thamnosma texana","ensemble_ssp245_2071",319391,40.3,33.1,13.8,6.9,3.7,2.3
"Thamnosma texana","ensemble_ssp370_2041",171097,40.3,29.3,14.2,7.9,4.6,3.7
"Thamnosma texana","ensemble_ssp370_2071",319391,35.9,33.7,15.8,8.5,4,2.1
"Thaspium barbinode","current",120017,48.7,13.4,10.1,10.5,10.5,6.7
"Thaspium barbinode","ensemble_ssp245_2041",200869,10.9,52.2,24.2,9,3.7,0
"Thaspium barbinode","ensemble_ssp245_2071",371577,17.3,58.3,16.8,6.3,1.3,0
"Thaspium barbinode","ensemble_ssp370_2041",200869,9.4,54.7,22.7,10.3,3,0
"Thaspium barbinode","ensemble_ssp370_2071",371577,14.9,60,19.1,5.4,0.5,0
"Zizia aurea","current",275924,58.1,8.1,11.2,8.3,5.1,9.1
"Zizia aurea","ensemble_ssp245_2041",425546,53,22.8,15.3,4.4,2.9,1.7
"Zizia aurea","ensemble_ssp245_2071",681899,57,22.4,12.6,4.3,2.6,1.1
"Zizia aurea","ensemble_ssp370_2041",425546,48.3,25,16.8,5,3.3,1.5
"Zizia aurea","ensemble_ssp370_2071",681899,44.9,21.7,17.6,9.4,4.4,1.8
"Amyris texana","current",16892,68.1,10.7,7.1,4.8,5.4,3.9
"Amyris texana","ensemble_ssp245_2041",61968,48.4,22.7,15.6,7.8,4.9,0.4
"Amyris texana","ensemble_ssp245_2071",185364,31.3,40.2,11.6,13.4,2.9,0.5
"Amyris texana","ensemble_ssp370_2041",61968,47.5,21.9,15.4,8.9,5.7,0.5
"Amyris texana","ensemble_ssp370_2071",185364,31.3,35.4,12.4,15.5,4.7,0.8
"Zanthoxylum fagara","current",118526,73.2,6.4,5.2,3.9,3.8,7.6
"Zanthoxylum fagara","ensemble_ssp245_2041",176284,70.7,12.7,5.5,4.9,3.2,3.1
"Zanthoxylum fagara","ensemble_ssp245_2071",293225,75.9,13.2,3.8,3.4,1.8,1.9
"Zanthoxylum fagara","ensemble_ssp370_2041",176284,67.1,15.2,5.6,5.9,3.2,3.1
"Zanthoxylum fagara","ensemble_ssp370_2071",293225,67.7,19.6,5.9,4.1,1.6,1
"Alnus alnobetula","current",1043798,73.6,5.8,3.6,4.5,4.9,7.6
"Alnus alnobetula","ensemble_ssp245_2041",1208122,79,6.7,4.6,3.7,3.8,2.3
"Alnus alnobetula","ensemble_ssp245_2071",1413202,81.5,5.4,3.7,3.5,3.7,2.2
"Alnus alnobetula","ensemble_ssp370_2041",1208122,78.6,6.5,4.2,3.8,4.2,2.7
"Alnus alnobetula","ensemble_ssp370_2071",1413202,77.1,9.4,4.6,3,3.5,2.3
"Persea americana","current",438690,77.2,2.8,2.2,3.7,3.2,10.9
"Persea americana","ensemble_ssp245_2041",516943,69.5,12.8,4.6,3,2.9,7.1
"Persea americana","ensemble_ssp245_2071",682975,71.5,13.9,4.7,2.5,2.5,5
"Persea americana","ensemble_ssp370_2041",516943,67.2,14.8,5.3,2.8,3,6.8
"Persea americana","ensemble_ssp370_2071",682975,63.6,19.4,6.5,3.4,3,4.1
"Populus angustifolia","current",151044,65.5,9.7,5.2,5.1,4.8,9.6
"Populus angustifolia","ensemble_ssp245_2041",288787,17.3,14.4,18.8,15.8,13.1,20.6
"Populus angustifolia","ensemble_ssp245_2071",515930,13.7,15.8,26.7,19.6,10.9,13.3
"Populus angustifolia","ensemble_ssp370_2041",288787,17.3,13.9,19.4,15.9,12.7,20.9
"Populus angustifolia","ensemble_ssp370_2071",515930,12.6,11.6,30.2,23.4,10,12.2
"Populus trichocarpa","current",215976,75.4,5.3,3.7,4.3,3.1,8.2
"Populus trichocarpa","ensemble_ssp245_2041",395665,67.5,10.9,7.2,5.7,3.9,4.8
"Populus trichocarpa","ensemble_ssp245_2071",700118,71.7,12.8,6,4.1,2.4,3
"Populus trichocarpa","ensemble_ssp370_2041",395665,65.6,11.9,7.3,6.1,4.2,5
"Populus trichocarpa","ensemble_ssp370_2071",700118,64.5,14.8,9,4.2,3.4,4.1
"Prunus armeniaca","current",565568,67.5,8.3,5.3,6.1,5.9,6.9
"Prunus armeniaca","ensemble_ssp245_2041",689540,64.4,10.3,6.8,4.3,4.3,10
"Prunus armeniaca","ensemble_ssp245_2071",893267,69.6,9.2,6.2,3.1,3.8,8.2
"Prunus armeniaca","ensemble_ssp370_2041",689540,63.1,10.9,7,4.3,4.6,10.1
"Prunus armeniaca","ensemble_ssp370_2071",893267,63.3,12,8.2,3.6,4.6,8.3
"Prunus caroliniana","current",158675,71.5,4.6,5.1,5.5,5.4,7.9
"Prunus caroliniana","ensemble_ssp245_2041",272473,48.9,5.3,8.4,3.3,25.5,8.5
"Prunus caroliniana","ensemble_ssp245_2071",455259,59.2,6.3,8.5,2.6,16.8,6.6
"Prunus caroliniana","ensemble_ssp370_2041",272473,48,4.8,7.6,3.9,26.1,9.6
"Prunus caroliniana","ensemble_ssp370_2071",455259,53.4,7.3,9.6,2.5,18.9,8.4
"Prunus ilicifolia","current",14405,67.8,4.4,3.3,3.5,4.7,16.3
"Prunus ilicifolia","ensemble_ssp245_2041",50277,83.1,14.7,2.2,0,0,0
"Prunus ilicifolia","ensemble_ssp245_2071",142374,68.4,23.3,7.2,1,0,0
"Prunus ilicifolia","ensemble_ssp370_2041",50277,84.4,13.1,2.5,0,0,0
"Prunus ilicifolia","ensemble_ssp370_2071",142374,71.2,22.3,5.7,0.7,0.1,0
"Salix babylonica","current",714330,67.1,7,5.4,7.9,5,7.6
"Salix babylonica","ensemble_ssp245_2041",843095,31.2,22.9,13.8,11.7,9.4,11.1
"Salix babylonica","ensemble_ssp245_2071",1037556,29.1,21.7,18.4,11,8.8,10.9
"Salix babylonica","ensemble_ssp370_2041",843095,28.2,21.8,16.1,12.3,9.8,11.9
"Salix babylonica","ensemble_ssp370_2071",1037556,16.1,13,27.7,16.2,11,16
"Salix exigua","current",620900,68.2,6.4,4,3.4,3.9,14.2
"Salix exigua","ensemble_ssp245_2041",780718,47.4,18.6,9.5,6.3,4.5,13.8
"Salix exigua","ensemble_ssp245_2071",1014692,51.6,19.3,9.9,5.1,3.5,10.6
"Salix exigua","ensemble_ssp370_2041",780718,45.2,19.4,10.7,6.6,4.7,13.6
"Salix exigua","ensemble_ssp370_2071",1014692,37.6,26.9,14.5,6.6,4.3,10
"Salix hookeriana","current",22082,61.3,8.5,10.4,6.5,6.7,6.7
"Salix hookeriana","ensemble_ssp245_2041",76688,37,31,5.6,11.3,6,9.1
"Salix hookeriana","ensemble_ssp245_2071",216247,19.7,59.3,3.5,8.4,5.6,3.5
"Salix hookeriana","ensemble_ssp370_2041",76688,36.6,29.7,6.6,12.6,5.3,9.2
"Salix hookeriana","ensemble_ssp370_2071",216247,16,58.4,5.7,9.1,7.7,3
"Salix lasiandra","current",428584,83.7,5.6,4.6,1.9,1.3,3
"Salix lasiandra","ensemble_ssp245_2041",651402,69.2,15.3,6.5,4.3,2,2.7
"Salix lasiandra","ensemble_ssp245_2071",917062,64.2,19.3,9,3.5,1.9,2.2
"Salix lasiandra","ensemble_ssp370_2041",651402,67.3,16.7,6.5,4.2,2.4,2.9
"Salix lasiandra","ensemble_ssp370_2071",917062,54.8,25.9,11.2,3.1,2.4,2.5
"Salix lasiolepis","current",294403,90.2,1.9,0.8,0.8,1,5.5
"Salix lasiolepis","ensemble_ssp245_2041",413032,93.7,4,0.6,0.9,0.7,0.1
"Salix lasiolepis","ensemble_ssp245_2071",614941,95.9,2.6,0.3,0.7,0.5,0.1
"Salix lasiolepis","ensemble_ssp370_2041",413032,93.8,3.8,0.5,0.9,0.9,0.1
"Salix lasiolepis","ensemble_ssp370_2071",614941,95.9,2.5,0.3,0.7,0.5,0.1
"Salix scouleriana","current",820973,81,4.7,3.4,3.4,2.5,5.1
"Salix scouleriana","ensemble_ssp245_2041",990542,82.2,9.2,4,2.2,1.6,0.8
"Salix scouleriana","ensemble_ssp245_2071",1206629,78.5,13.4,3.9,2.2,1.4,0.6
"Salix scouleriana","ensemble_ssp370_2041",990542,81.7,9.8,4,2.3,1.5,0.7
"Salix scouleriana","ensemble_ssp370_2071",1206629,75.7,14.5,4.4,2.3,2.1,1
"Angelica arguta","current",75361,63.9,15,6.1,3.9,3.8,7.4
"Angelica arguta","ensemble_ssp245_2041",163713,33.4,52.7,11.9,1.5,0.4,0.1
"Angelica arguta","ensemble_ssp245_2071",355728,24.8,59.7,14.5,0.8,0.2,0
"Angelica arguta","ensemble_ssp370_2041",163713,32.4,54.7,11.5,0.8,0.4,0.1
"Angelica arguta","ensemble_ssp370_2071",355728,24.6,64.9,10,0.3,0.2,0.1
"Angelica hendersonii","current",7594,89.9,1.7,0.6,1.4,1.6,4.7
"Angelica hendersonii","ensemble_ssp245_2041",43360,79.7,17.1,1.8,1.1,0.2,0.2
"Angelica hendersonii","ensemble_ssp245_2071",149302,47.8,38.6,13.2,0.4,0.1,0
"Angelica hendersonii","ensemble_ssp370_2041",43360,79.7,17.6,1.6,0.8,0.2,0.1
"Angelica hendersonii","ensemble_ssp370_2071",149302,47.1,40.9,11.5,0.5,0.1,0
"Angelica lineariloba","current",6042,72.2,5.7,2.8,3.5,4.8,11
"Angelica lineariloba","ensemble_ssp245_2041",39902,22.8,48.4,16.1,7.8,4.8,0.1
"Angelica lineariloba","ensemble_ssp245_2071",123063,7.8,39.5,21.6,25.3,5.8,0.1
"Angelica lineariloba","ensemble_ssp370_2041",39902,22.3,49.3,15.3,9.7,3.2,0.1
"Angelica lineariloba","ensemble_ssp370_2071",123063,7.1,43.5,22.4,23.9,3,0
"Angelica tomentosa","current",17304,70.7,9.4,3.9,4.9,6.9,4.2
"Angelica tomentosa","ensemble_ssp245_2041",55375,17.3,26.3,3.9,5.2,28.4,18.8
"Angelica tomentosa","ensemble_ssp245_2071",151215,7.7,14.2,3.6,15.3,34.5,24.6
"Angelica tomentosa","ensemble_ssp370_2041",55375,17.4,25.3,3.2,5.3,29.2,19.6
"Angelica tomentosa","ensemble_ssp370_2071",151215,8.3,15.6,4.2,17.1,33.3,21.6
"Conioselinum scopulorum","current",359183,80.2,9.7,4,2.3,2.4,1.3
"Conioselinum scopulorum","ensemble_ssp245_2041",488048,38.5,52.3,5,2.7,1.2,0.3
"Conioselinum scopulorum","ensemble_ssp245_2071",709281,31.6,59.3,6.1,2.1,0.7,0.1
"Conioselinum scopulorum","ensemble_ssp370_2041",488048,39.1,53.1,4.5,2.2,0.8,0.2
"Conioselinum scopulorum","ensemble_ssp370_2071",709281,34.2,59.7,4.7,1.1,0.3,0.1
"Ligusticum grayi","current",91810,77.2,8.5,5.2,4,2,3.1
"Ligusticum grayi","ensemble_ssp245_2041",170861,92.3,6.3,0.6,0.4,0.2,0.2
"Ligusticum grayi","ensemble_ssp245_2071",347029,97,2.6,0.1,0.1,0.1,0
"Ligusticum grayi","ensemble_ssp370_2041",170861,93.6,5.5,0.3,0.3,0.2,0.1
"Ligusticum grayi","ensemble_ssp370_2071",347029,97.2,2.4,0.2,0.1,0,0
"Ligusticum porteri","current",86816,87.4,4.2,1.3,1.1,1.5,4.5
"Ligusticum porteri","ensemble_ssp245_2041",196537,45.5,49.1,3.6,1.4,0.3,0.1
"Ligusticum porteri","ensemble_ssp245_2071",387292,30.4,66,3.1,0.3,0.1,0
"Ligusticum porteri","ensemble_ssp370_2041",196537,46.8,48.9,3.2,0.9,0.2,0.1
"Ligusticum porteri","ensemble_ssp370_2071",387292,33,64.8,1.8,0.3,0.1,0
"Lomatium californicum","current",17280,74.8,9.1,4.3,2.9,3.4,5.5
"Lomatium californicum","ensemble_ssp245_2041",52870,31.6,25.5,29.6,12.7,0.5,0
"Lomatium californicum","ensemble_ssp245_2071",148957,25.1,40.4,27.5,6.9,0.1,0
"Lomatium californicum","ensemble_ssp370_2041",52870,35.4,23.5,28.7,12.1,0.2,0
"Lomatium californicum","ensemble_ssp370_2071",148957,28,42.7,24.6,4.7,0,0
"Lomatium dasycarpum","current",15402,60.5,10,7.6,4.3,4.7,12.8
"Lomatium dasycarpum","ensemble_ssp245_2041",53037,52.6,39.9,7.5,0,0,0
"Lomatium dasycarpum","ensemble_ssp245_2071",148037,41.7,44.8,12.3,1,0.1,0
"Lomatium dasycarpum","ensemble_ssp370_2041",53037,52.2,41.2,6.6,0,0,0
"Lomatium dasycarpum","ensemble_ssp370_2071",148037,35.5,52.7,10.4,1.3,0.1,0
"Lomatium utriculatum","current",43977,67.8,5,3.7,3.4,5.1,15
"Lomatium utriculatum","ensemble_ssp245_2041",109495,50.7,32.5,11.6,3.7,1.3,0.2
"Lomatium utriculatum","ensemble_ssp245_2071",265015,37.1,36.7,22,3.3,0.6,0.3
"Lomatium utriculatum","ensemble_ssp370_2041",109495,49.4,34.1,10.8,3.6,1.6,0.4
"Lomatium utriculatum","ensemble_ssp370_2071",265015,35,38.3,20.8,4.3,0.9,0.6
"Oenanthe sarmentosa","current",97278,81.7,3.1,2.4,2.4,2.7,7.9
"Oenanthe sarmentosa","ensemble_ssp245_2041",202197,86.7,2.5,1.6,1.5,2.1,5.6
"Oenanthe sarmentosa","ensemble_ssp245_2071",452546,93.4,1.2,0.7,0.8,1.1,2.7
"Oenanthe sarmentosa","ensemble_ssp370_2041",202197,87.2,2.2,1.4,1.5,2,5.7
"Oenanthe sarmentosa","ensemble_ssp370_2071",452546,92.4,1.6,0.9,1.1,1.5,2.6
"Perideridia bolanderi","current",96369,50.1,9.6,8.9,8.1,10.5,12.8
"Perideridia bolanderi","ensemble_ssp245_2041",173631,54,34.9,9.2,1.2,0.3,0.5
"Perideridia bolanderi","ensemble_ssp245_2071",345477,61.8,32.2,5.4,0.3,0.1,0.1
"Perideridia bolanderi","ensemble_ssp370_2041",173631,53.8,36.1,8.8,0.9,0.2,0.2
"Perideridia bolanderi","ensemble_ssp370_2071",345477,63,31.3,5.3,0.2,0,0.1
"Perideridia gairdneri","current",185240,57.3,11.9,8.2,7.3,8.6,6.7
"Perideridia gairdneri","ensemble_ssp245_2041",298774,75.1,12.2,7.4,2.6,1.6,1.1
"Perideridia gairdneri","ensemble_ssp245_2071",528604,62.7,29.2,5.9,1.2,0.7,0.3
"Perideridia gairdneri","ensemble_ssp370_2041",298774,74.4,13,7.9,2.5,1.4,0.8
"Perideridia gairdneri","ensemble_ssp370_2071",528604,58.7,33.4,5.3,1.4,0.8,0.3
"Perideridia kelloggii","current",13977,82.5,5.4,2.8,2.3,2.3,4.8
"Perideridia kelloggii","ensemble_ssp245_2041",46737,29.9,50.7,18.4,1,0,0
"Perideridia kelloggii","ensemble_ssp245_2071",135109,22.1,45.9,27.6,4.5,0,0
"Perideridia kelloggii","ensemble_ssp370_2041",46737,29.3,48.9,18.5,3.2,0,0
"Perideridia kelloggii","ensemble_ssp370_2071",135109,23.2,38.4,30.4,8,0,0
"Pseudocymopterus montanus","current",86463,82.6,3.3,1.9,1.4,3.3,7.4
"Pseudocymopterus montanus","ensemble_ssp245_2041",191134,69.2,21,4.1,2.8,1.8,1
"Pseudocymopterus montanus","ensemble_ssp245_2071",385950,52,24.6,15.6,6.5,0.9,0.3
"Pseudocymopterus montanus","ensemble_ssp370_2041",191134,70.9,19.9,4.3,2.4,1.7,0.9
"Pseudocymopterus montanus","ensemble_ssp370_2071",385950,55.4,20.4,17.2,5.9,0.7,0.3
"Sphenosciadium capitellatum","current",108017,84.7,6.2,2.8,2,1.7,2.6
"Sphenosciadium capitellatum","ensemble_ssp245_2041",184124,78.1,21,0.5,0.2,0.2,0
"Sphenosciadium capitellatum","ensemble_ssp245_2071",353077,69.6,29.8,0.4,0.1,0.1,0
"Sphenosciadium capitellatum","ensemble_ssp370_2041",184124,77.7,21.4,0.4,0.2,0.2,0
"Sphenosciadium capitellatum","ensemble_ssp370_2071",353077,71.6,27.7,0.5,0.1,0.1,0
